module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.0.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0013149427250027657	0.006951889954507351	[0.00695189,0.00154724,0.00352435,0.00396969,0.00612498,0.00308549,0.00280068,0.0042181,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.0.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4350517988204956	0.4350517988204956	[0.435052]	1	78	78	[78]
encoder.en_convs.0.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.37420207262039185	0.37420207262039185	[0.374202]	1	61	61	[61]
encoder.en_convs.1.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0033482566941529512	0.018052158877253532	[0.00489996,0.00858882,0.00540364,0.0130727,0.00471192,0.00555467,0.0180522,0.00770752,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.1.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.34377655386924744	0.34377655386924744	[0.343777]	1	67	67	[67]
encoder.en_convs.1.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.22979086637496948	0.22979086637496948	[0.229791]	1	38	38	[38]
encoder.en_convs.2.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005381911993026733	0.018507521599531174	[0.00575594,0.0166837,0.00540791,0.0160119,0.0105731,0.0062338,0.00595423,0.0069734,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.52448970079422	0.52448970079422	[0.52449]	1	70	70	[70]
encoder.en_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.22046679258346558	0.22046679258346558	[0.220467]	1	40	40	[40]
encoder.en_convs.2.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.003000672673806548	0.013892613351345062	[0.0071766,0.00639198,0.00714498,0.00300067,0.00673707,0.0133383,0.00683868,0.00680314,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4661768972873688	0.4661768972873688	[0.466177]	1	64	64	[64]
encoder.en_convs.2.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2772842049598694	0.2772842049598694	[0.277284]	1	23	23	[23]
encoder.en_convs.2.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.0022662049159407616	0.0072830794379115105	[0.00286583,0.00453552,0.00392634,0.00255927,0.0022662,0.00728308,0.00525202,0.0029381]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.2.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.24126377701759338	0.24126377701759338	[0.241264]	1	58	58	[58]
encoder.en_convs.2.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.29095327854156494	0.29095327854156494	[0.290953]	1	30	30	[30]
encoder.en_convs.3.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.003547037485986948	0.015573499724268913	[0.0155735,0.0101468,0.00596879,0.00426209,0.0070049,0.00720416,0.00975061,0.0101375,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.3.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.6635295748710632	0.6635295748710632	[0.66353]	1	71	71	[71]
encoder.en_convs.3.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.23826228082180023	0.23826228082180023	[0.238262]	1	49	49	[49]
encoder.en_convs.3.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0034161328803747892	0.010757659561932087	[0.00372773,0.00341613,0.00594579,0.00886712,0.00707317,0.00440788,0.0107577,0.00636052,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.3.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.38571059703826904	0.38571059703826904	[0.385711]	1	70	70	[70]
encoder.en_convs.3.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.44462281465530396	0.44462281465530396	[0.444623]	1	48	48	[48]
encoder.en_convs.3.point_conv2.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	8	0.0025771993678063154	0.005644113291054964	[0.00373354,0.00392074,0.00564411,0.00321583,0.00318779,0.00276158,0.00438039,0.0025772]	8	0	0	[0,0,0,0,0,0,0,0]
encoder.en_convs.3.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.20472969114780426	0.20472969114780426	[0.20473]	1	63	63	[63]
encoder.en_convs.3.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.19662292301654816	0.19662292301654816	[0.196623]	1	20	20	[20]
encoder.en_convs.4.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005069569684565067	0.02127305045723915	[0.0179245,0.0101577,0.00573544,0.0101016,0.00574421,0.019986,0.0113495,0.00729149,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.4.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3588702082633972	0.3588702082633972	[0.35887]	1	69	69	[69]
encoder.en_convs.4.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.13805881142616272	0.13805881142616272	[0.138059]	1	30	30	[30]
encoder.en_convs.4.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0027256093453615904	0.021627549082040787	[0.00317254,0.00272561,0.00701302,0.00479487,0.011247,0.00550928,0.00533942,0.0216275,...]	16	-128	0	[0,0,-128,0,0,0,0,0,...]
