module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.0.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0006916623678989708	0.007023344282060862	[0.00702334,0.000890161,0.00361948,0.00584216,0.00515377,0.00197533,0.00268821,0.00401909,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.0.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.43529942631721497	0.43529942631721497	[0.435299]	1	76	76	[76]
encoder.en_convs.0.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3978590965270996	0.3978590965270996	[0.397859]	1	61	61	[61]
encoder.en_convs.1.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0026645308826118708	0.013294928707182407	[0.00535246,0.00895976,0.00999172,0.00970905,0.00649643,0.004679,0.012429,0.00709151,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.1.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3603419363498688	0.3603419363498688	[0.360342]	1	64	64	[64]
encoder.en_convs.1.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2326928675174713	0.2326928675174713	[0.232693]	1	36	36	[36]
encoder.en_convs.2.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.005280493292957544	0.02302626147866249	[0.00675239,0.0135434,0.00658348,0.0131763,0.00903378,0.00644689,0.0057845,0.00776608,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.5522404909133911	0.5522404909133911	[0.55224]	1	70	70	[70]
encoder.en_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.23509959876537323	0.23509959876537323	[0.2351]	1	35	35	[35]
encoder.en_convs.2.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.002803253009915352	0.015521805733442307	[0.00712465,0.00677751,0.00891481,0.00280325,0.00821877,0.0133567,0.00593797,0.0066508,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
