module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.0.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.004974767565727234	0.025508372113108635	[0.0127955,0.00814289,0.0105537,0.00710757,0.0131167,0.00713322,0.00799848,0.00758908,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.0.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.187180995941162	1.187180995941162	[1.18718]	1	69	69	[69]
encoder.en_convs.0.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.380861759185791	0.380861759185791	[0.380862]	1	61	61	[61]
encoder.en_convs.1.conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0020868561696261168	0.011590232141315937	[0.00557471,0.0115902,0.00598686,0.00580851,0.0103078,0.00671462,0.0077009,0.00495215,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.1.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.7869851589202881	0.7869851589202881	[0.786985]	1	81	81	[81]
encoder.en_convs.1.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.6511023640632629	0.6511023640632629	[0.651102]	1	26	26	[26]
encoder.en_convs.2.point_conv1.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0086909094825387	0.036394599825143814	[0.025495,0.023352,0.012365,0.0363946,0.0172262,0.014413,0.0178232,0.0144748,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
encoder.en_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.6501543521881104	1.6501543521881104	[1.65015]	1	56	56	[56]
encoder.en_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.4027034342288971	0.4027034342288971	[0.402703]	1	45	45	[45]
encoder.en_convs.2.depth_conv.weight_fake_quant	weight	FusedMovingAvgObsFakeQuantize	MovingAveragePerChannelMinMaxObserver	torch.qint8	torch.per_channel_symmetric	-128	127	8	0	16	0.0031659603118896484	0.008585173636674881	[0.00317478,0.00316596,0.00715479,0.00389557,0.00452842,0.00379499,0.00464527,0.00674304,...]	16	0	0	[0,0,0,0,0,0,0,0,...]
